ticker,report_id,directory_year,passage_id,heading_text,word_count,body_present,first_page_number,passage_type,constituent_block_types,text_excerpt,category,rule_evidence,suggested_action
ACT,923373ad-e6a8-4ca5-96c9-020a5c297d8f,2017,e01c2ee7-d281-47cd-943a-59b5738d311a,Bu,1,False,100,HEADING_WITH_BODY,,Bu,short_fragment_invalid,"heading_text='Bu', word_count=1, passage_type=HEADING_WITH_BODY -- isolated token with no body, the same failure signature as the fixed one-character DECORATIVE_OR_FRAGMENT rule in block_classification.py, just one character wider. Lowercase/mixed-case: matches the corpus's observed mid-word bigram-fragment pattern (e.g. 'rs', 'er', 'nt', 'te') -- no plausible legitimate reading.",EXCLUDE
ACT,923373ad-e6a8-4ca5-96c9-020a5c297d8f,2017,97dfda39-797e-43e5-85d6-8bf4d6709202,Co,1,False,100,HEADING_WITH_BODY,,Co,short_fragment_invalid,"heading_text='Co', word_count=1, passage_type=HEADING_WITH_BODY -- isolated token with no body, the same failure signature as the fixed one-character DECORATIVE_OR_FRAGMENT rule in block_classification.py, just one character wider. Lowercase/mixed-case: matches the corpus's observed mid-word bigram-fragment pattern (e.g. 'rs', 'er', 'nt', 'te') -- no plausible legitimate reading.",EXCLUDE
ACT,923373ad-e6a8-4ca5-96c9-020a5c297d8f,2017,f891bccd-1008-4b0d-ae17-4c7ee3d812ac,In,1,False,100,HEADING_WITH_BODY,,In,short_fragment_invalid,"heading_text='In', word_count=1, passage_type=HEADING_WITH_BODY -- isolated token with no body, the same failure signature as the fixed one-character DECORATIVE_OR_FRAGMENT rule in block_classification.py, just one character wider. Lowercase/mixed-case: matches the corpus's observed mid-word bigram-fragment pattern (e.g. 'rs', 'er', 'nt', 'te') -- no plausible legitimate reading.",EXCLUDE
ACT,923373ad-e6a8-4ca5-96c9-020a5c297d8f,2017,3f7692bc-6fdd-4fd6-a77f-2d45838372e2,Re,1,False,100,HEADING_WITH_BODY,,Re,short_fragment_invalid,"heading_text='Re', word_count=1, passage_type=HEADING_WITH_BODY -- isolated token with no body, the same failure signature as the fixed one-character DECORATIVE_OR_FRAGMENT rule in block_classification.py, just one character wider. Lowercase/mixed-case: matches the corpus's observed mid-word bigram-fragment pattern (e.g. 'rs', 'er', 'nt', 'te') -- no plausible legitimate reading.",EXCLUDE
ACT,923373ad-e6a8-4ca5-96c9-020a5c297d8f,2017,90c23f84-cf50-40ef-994e-e0ffba39248f,Ro,1,False,100,HEADING_WITH_BODY,,Ro,short_fragment_invalid,"heading_text='Ro', word_count=1, passage_type=HEADING_WITH_BODY -- isolated token with no body, the same failure signature as the fixed one-character DECORATIVE_OR_FRAGMENT rule in block_classification.py, just one character wider. Lowercase/mixed-case: matches the corpus's observed mid-word bigram-fragment pattern (e.g. 'rs', 'er', 'nt', 'te') -- no plausible legitimate reading.",EXCLUDE
ACT,923373ad-e6a8-4ca5-96c9-020a5c297d8f,2017,bc6a01b5-edcd-44d8-886e-22944b994869,TI,1,False,100,HEADING_WITH_BODY,,TI,short_fragment_invalid,"heading_text='TI', word_count=1, passage_type=HEADING_WITH_BODY -- isolated token with no body, the same failure signature as the fixed one-character DECORATIVE_OR_FRAGMENT rule in block_classification.py, just one character wider. All-uppercase: plausibly a recurring diagram/table label rather than a mid-word glyph fragment -- retained for human confirmation rather than auto-excluded.",REVIEW
ACT,923373ad-e6a8-4ca5-96c9-020a5c297d8f,2017,153d10c8-96b2-46cb-a2ee-d0332babdc50,Tr,1,False,100,HEADING_WITH_BODY,,Tr,short_fragment_invalid,"heading_text='Tr', word_count=1, passage_type=HEADING_WITH_BODY -- isolated token with no body, the same failure signature as the fixed one-character DECORATIVE_OR_FRAGMENT rule in block_classification.py, just one character wider. Lowercase/mixed-case: matches the corpus's observed mid-word bigram-fragment pattern (e.g. 'rs', 'er', 'nt', 'te') -- no plausible legitimate reading.",EXCLUDE
ACT,923373ad-e6a8-4ca5-96c9-020a5c297d8f,2017,6c437d06-0566-4e80-995a-42f38301a6f7,an,1,False,100,HEADING_WITH_BODY,,an,short_fragment_invalid,"heading_text='an', word_count=1, passage_type=HEADING_WITH_BODY -- isolated token with no body, the same failure signature as the fixed one-character DECORATIVE_OR_FRAGMENT rule in block_classification.py, just one character wider. Lowercase/mixed-case: matches the corpus's observed mid-word bigram-fragment pattern (e.g. 'rs', 'er', 'nt', 'te') -- no plausible legitimate reading.",EXCLUDE
ACT,923373ad-e6a8-4ca5-96c9-020a5c297d8f,2017,fd1e92f3-bbb8-4039-968f-c39474c22e09,ar,1,False,100,HEADING_WITH_BODY,,ar,short_fragment_invalid,"heading_text='ar', word_count=1, passage_type=HEADING_WITH_BODY -- isolated token with no body, the same failure signature as the fixed one-character DECORATIVE_OR_FRAGMENT rule in block_classification.py, just one character wider. Lowercase/mixed-case: matches the corpus's observed mid-word bigram-fragment pattern (e.g. 'rs', 'er', 'nt', 'te') -- no plausible legitimate reading.",EXCLUDE
ACT,923373ad-e6a8-4ca5-96c9-020a5c297d8f,2017,6120d64c-d80d-4420-9b02-aa2860f9788b,at,1,False,100,HEADING_WITH_BODY,,at,short_fragment_invalid,"heading_text='at', word_count=1, passage_type=HEADING_WITH_BODY -- isolated token with no body, the same failure signature as the fixed one-character DECORATIVE_OR_FRAGMENT rule in block_classification.py, just one character wider. Lowercase/mixed-case: matches the corpus's observed mid-word bigram-fragment pattern (e.g. 'rs', 'er', 'nt', 'te') -- no plausible legitimate reading.",EXCLUDE
