metric,count,minimum,median,maximum,mean
net_tone_earlier,25,-4.809550392923089,4.282373958962772,11.82270308001047,3.215672076528217
net_tone_later,25,-4.809550392923089,5.050782322261872,11.82270308001047,3.887419242967998
net_tone_change,25,-6.579886746621122,0.17592133062439697,5.915236534726697,0.6717471664397806
uncertainty_rate_change,25,-2.618553429244951,-0.02653165251050993,2.175312159999283,-0.08288728407763965
negative_rate_change,25,-1.7088635483682229,0.2370018041659847,4.391435235308521,0.3281931571459311
positive_rate_change,25,-5.313594746826563,0.3175653371885119,8.859129587780268,0.9999403235857117
litigious_rate_change,25,-3.158425764662664,-0.10642933405189936,1.4061108311071298,-0.1688247869065111
constraining_rate_change,25,-1.1910932834518952,-0.09133321779355441,1.1430039949239248,-0.06451367670888385
strong_modal_rate_change,25,-1.382791403928746,0.006758521193590994,1.551124899030453,-0.020742853293376856
weak_modal_rate_change,25,-1.365099417811088,-0.13837051406871392,0.7629798173917322,-0.10763369738390688
risk_language_introduction,25,0.0,0.1339046598821639,2.4744198488597604,0.5583237841230534
risk_language_removal,25,0.0,0.12572290671360323,2.5337302844112246,0.5496580747339298
governance_language_change,25,-1.0759105405724467,-0.048617844581651415,1.7036229518938302,-0.03506589158170388
financial_condition_language_change,25,-1.1050603532716843,0.009404984394268734,0.8816885758312609,-0.07364224016675752
forward_looking_caution_change,25,-2.756923943313664,0.027014198706355685,2.0236627017887923,-0.19052098146154658
analyzed_word_coverage,25,1.0,1.0,1.0,1.0
primary_narrative_coverage,25,0.9239437347755013,0.9847428737718775,0.9927846569220743,0.9773882219670982
dictionary_match_rate,25,0.04506903456445847,0.05641736147191502,0.06790130076244195,0.05606974025257064
